id,question_id,response_id,created
300,13,65,"2015-11-16 14:24:13.178829"
301,12,65,"2015-11-16 14:24:13.188952"
302,36,65,"2015-11-16 14:24:13.199834"
303,31,65,"2015-11-16 14:24:13.217395"
304,30,65,"2015-11-16 14:24:13.227652"
305,33,65,"2015-11-16 14:24:13.236209"
306,32,65,"2015-11-16 14:24:13.248424"
307,34,65,"2015-11-16 14:24:13.260899"
310,44,65,"2015-11-16 14:24:13.292637"
311,45,65,"2015-11-16 14:24:13.302998"
312,46,65,"2015-11-16 14:24:13.311760"
313,26,65,"2015-11-16 14:24:13.320139"
314,41,65,"2015-11-16 14:24:13.330525"
315,42,65,"2015-11-16 14:24:13.340962"
316,43,65,"2015-11-16 14:24:13.351151"
317,22,65,"2015-11-16 14:24:13.360945"
318,23,65,"2015-11-16 14:24:13.371945"
320,24,65,"2015-11-16 14:24:13.392180"
321,35,65,"2015-11-16 14:24:13.403293"
322,25,65,"2015-11-16 14:24:13.412082"
323,11,66,"2015-11-16 14:24:18.578326"
324,10,66,"2015-11-16 14:24:18.591306"
325,6,66,"2015-11-16 14:24:18.601195"
326,9,66,"2015-11-16 14:24:18.613064"
327,8,66,"2015-11-16 14:24:18.624066"
328,20,66,"2015-11-16 14:24:18.635518"
329,21,66,"2015-11-16 14:24:18.647859"
449,13,78,"2015-11-16 14:56:35.569959"
450,12,78,"2015-11-16 14:56:35.580081"
451,36,78,"2015-11-16 14:56:35.590091"
452,31,78,"2015-11-16 14:56:35.600567"
453,30,78,"2015-11-16 14:56:35.611019"
454,33,78,"2015-11-16 14:56:35.621687"
455,32,78,"2015-11-16 14:56:35.631631"
456,34,78,"2015-11-16 14:56:35.641287"
459,44,78,"2015-11-16 14:56:35.669865"
460,45,78,"2015-11-16 14:56:35.679485"
461,46,78,"2015-11-16 14:56:35.687749"
462,26,78,"2015-11-16 14:56:35.696222"
463,41,78,"2015-11-16 14:56:35.706328"
464,42,78,"2015-11-16 14:56:35.716560"
465,43,78,"2015-11-16 14:56:35.726662"
466,22,78,"2015-11-16 14:56:35.737063"
467,23,78,"2015-11-16 14:56:35.747447"
469,24,78,"2015-11-16 14:56:35.766790"
470,35,78,"2015-11-16 14:56:35.776615"
471,25,78,"2015-11-16 14:56:35.787156"
472,11,79,"2015-11-16 14:58:05.840223"
473,10,79,"2015-11-16 14:58:05.851245"
474,6,79,"2015-11-16 14:58:05.859944"
475,9,79,"2015-11-16 14:58:05.870076"
476,8,79,"2015-11-16 14:58:05.880526"
477,20,79,"2015-11-16 14:58:05.891064"
478,21,79,"2015-11-16 14:58:05.900270"
479,11,80,"2015-11-16 15:01:07.970218"
480,10,80,"2015-11-16 15:01:07.983825"
481,6,80,"2015-11-16 15:01:07.997297"
482,9,80,"2015-11-16 15:01:08.010335"
483,8,80,"2015-11-16 15:01:08.022611"
484,20,80,"2015-11-16 15:01:08.034807"
485,21,80,"2015-11-16 15:01:08.047382"
486,40,81,"2015-11-16 15:01:27.703593"
487,37,81,"2015-11-16 15:01:27.718120"
488,39,81,"2015-11-16 15:01:27.731591"
489,38,81,"2015-11-16 15:01:27.744396"
527,13,85,"2015-11-16 15:55:01.663234"
528,12,85,"2015-11-16 15:55:01.676209"
529,36,85,"2015-11-16 15:55:01.688148"
530,31,85,"2015-11-16 15:55:01.699119"
531,30,85,"2015-11-16 15:55:01.709468"
532,33,85,"2015-11-16 15:55:01.721126"
533,32,85,"2015-11-16 15:55:01.732456"
534,34,85,"2015-11-16 15:55:01.742971"
537,44,85,"2015-11-16 15:55:01.776034"
538,45,85,"2015-11-16 15:55:01.788412"
539,46,85,"2015-11-16 15:55:01.799893"
540,26,85,"2015-11-16 15:55:01.810736"
541,41,85,"2015-11-16 15:55:01.822378"
542,42,85,"2015-11-16 15:55:01.834604"
543,43,85,"2015-11-16 15:55:01.846460"
544,22,85,"2015-11-16 15:55:01.858095"
545,23,85,"2015-11-16 15:55:01.869645"
547,24,85,"2015-11-16 15:55:01.893188"
548,35,85,"2015-11-16 15:55:01.906434"
549,25,85,"2015-11-16 15:55:01.918160"
550,11,86,"2015-11-16 16:14:45.872975"
551,10,86,"2015-11-16 16:14:45.886671"
552,6,86,"2015-11-16 16:14:45.898104"
553,9,86,"2015-11-16 16:14:45.909458"
554,8,86,"2015-11-16 16:14:45.921385"
555,20,86,"2015-11-16 16:14:45.932414"
556,21,86,"2015-11-16 16:14:45.943268"
557,11,87,"2015-11-16 16:18:09.479272"
558,10,87,"2015-11-16 16:18:09.489607"
559,6,87,"2015-11-16 16:18:09.500377"
560,9,87,"2015-11-16 16:18:09.510820"
